epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,22.8901,0.50538,0.88435,1,0.26624,0.000549493,0.000549493,0.000549493
2,67.7937,0.2454,0.87755,1,0.35517,0.00108328,0.00108328,0.00108328
3,87.3997,0.20712,0.86395,1,0.35196,0.00159506,0.00159506,0.00159506
4,136.565,0.28334,0.87755,1,0.27944,0.00156798,0.00156798,0.00156798
5,204.205,0.19423,0.91156,1,0.2987,0.00153497,0.00153497,0.00153497
6,226.377,0.19373,0.89116,1,0.37548,0.00150197,0.00150197,0.00150197
7,244.308,0.17751,0.86395,1,0.4288,0.00146896,0.00146896,0.00146896
8,291.866,0.18936,0.90476,1,0.45178,0.00143595,0.00143595,0.00143595
9,349.043,0.17606,0.88435,1,0.40663,0.00140295,0.00140295,0.00140295
10,405.859,0.15719,0.91837,1,0.44444,0.00136994,0.00136994,0.00136994
11,460.773,0.12432,0.91156,1,0.40675,0.00133693,0.00133693,0.00133693
12,530.192,0.16688,0.89796,1,0.41867,0.00130393,0.00130393,0.00130393
13,599.64,0.17378,0.89796,1,0.50509,0.00127092,0.00127092,0.00127092
14,670.132,0.1453,0.88435,1,0.54459,0.00123791,0.00123791,0.00123791
15,740.958,0.13526,0.88435,1,0.41591,0.00120491,0.00120491,0.00120491
16,810.249,0.09559,0.89116,1,0.47774,0.0011719,0.0011719,0.0011719
17,880.588,0.11205,0.89116,1,0.53282,0.00113889,0.00113889,0.00113889
18,951.128,0.11199,0.89796,1,0.50192,0.00110589,0.00110589,0.00110589
19,1021.69,0.09734,0.87755,1,0.66391,0.00107288,0.00107288,0.00107288
20,1091.97,0.09213,0.89116,1,0.5987,0.00103987,0.00103987,0.00103987
21,1161.81,0.08104,0.87075,1,0.52561,0.00100687,0.00100687,0.00100687
22,1231.73,0.10887,0.88435,1,0.69634,0.000973861,0.000973861,0.000973861
23,1300.54,0.08058,0.87755,1,0.63355,0.000940855,0.000940855,0.000940855
24,1370.86,0.07846,0.89116,1,0.52046,0.000907848,0.000907848,0.000907848
25,1440.62,0.0689,0.87755,1,0.55569,0.000874842,0.000874842,0.000874842
26,1510.38,0.08342,0.88435,1,0.75888,0.000841835,0.000841835,0.000841835
27,1581.34,0.08499,0.87075,1,1.15158,0.000808828,0.000808828,0.000808828
28,1650.99,0.07338,0.91156,1,0.66837,0.000775822,0.000775822,0.000775822
29,1720.77,0.06276,0.87755,1,0.67859,0.000742815,0.000742815,0.000742815
30,1790.9,0.06035,0.87075,1,0.80905,0.000709809,0.000709809,0.000709809
31,1861.2,0.05789,0.89796,1,0.66135,0.000676802,0.000676802,0.000676802
32,1931.6,0.06513,0.88435,1,0.78104,0.000643795,0.000643795,0.000643795
33,1995.21,0.07688,0.87075,1,0.61719,0.000610789,0.000610789,0.000610789
34,2054.25,0.0609,0.89116,1,0.71237,0.000577782,0.000577782,0.000577782
35,2116.35,0.05843,0.88435,1,0.70091,0.000544776,0.000544776,0.000544776
36,2171.95,0.0739,0.88435,1,0.7797,0.000511769,0.000511769,0.000511769
37,2243.67,0.04929,0.87075,1,0.72939,0.000478762,0.000478762,0.000478762
38,2308.85,0.05989,0.87075,1,0.74678,0.000445756,0.000445756,0.000445756
39,2373.58,0.05717,0.87755,1,0.74116,0.000412749,0.000412749,0.000412749
40,2438.45,0.07593,0.87755,1,0.64816,0.000379743,0.000379743,0.000379743
41,2507.56,0.05888,0.88435,1,0.60946,0.000346736,0.000346736,0.000346736
42,2585.92,0.049,0.87755,1,0.61838,0.000313729,0.000313729,0.000313729
43,2663.44,0.03846,0.87755,1,0.67107,0.000280723,0.000280723,0.000280723
44,2741.48,0.05059,0.88435,1,0.93313,0.000247716,0.000247716,0.000247716
45,2817.04,0.06456,0.88435,1,1.13473,0.00021471,0.00021471,0.00021471
46,2894.12,0.05317,0.87755,1,0.71185,0.000181703,0.000181703,0.000181703
47,2973.24,0.04984,0.87755,1,0.70345,0.000148696,0.000148696,0.000148696
48,3049.09,0.04561,0.88435,1,1.61188,0.00011569,0.00011569,0.00011569
49,3126.4,0.04629,0.88435,1,0.72189,8.26832e-05,8.26832e-05,8.26832e-05
50,3204.71,0.04516,0.88435,1,0.74985,4.96766e-05,4.96766e-05,4.96766e-05
